name,id,all_review_count
매염방,1796713036,71
부부보쌈,12052285,71
강릉밥선생,1410167686,70
추억의금노다지,19354162,70
바다사랑,31508723,69
나모야 강릉점,1704605277,69
87닭강정 주문진점,1345031898,69
가마솥흑염소,1874304021,69
권오복 분틀 메밀국수,212424953,69
연자네보리밥,1075857630,67
고향감자탕,15345035,67
김부자국밥,36408866,67
명진옥,21739662,66
제비리장칼국수,1472679296,64
주문진가마솥설렁탕,20264808,64
그고깃집,1920437123,64
여왕숯불갈비,1270547426,63
남향막국수청량점,1141037052,61
맛따라길따라,15287430,61
솔향축산셀프식당,404484119,61
summ'er,36997320,61
해궁식당,1962439120,60
생수쉼터식당,15374161,60
초록반상,2057775610,60
배불뚝이,1229297638,60
하나로본 감자탕,21052978,59
마산미나아구찜,1239170756,59
고려원,15381763,59
옥천오겹살,35650206,58
송참숯갈비,1288844710,58
명산숯불구이,945406332,57
교오복식당,21104491,57
성남대운식당,1603154990,57
뜸들이다 강릉역점,1494239283,56
가마솥쌈밥,20665635,56
옥이네 푸줏간,1463670736,55
이화김밥,1524921997,55
은서네밥상,1628822395,55
못잊어분식,1684801488,54
경포왕만두,1090308210,54
BHC치킨 강릉초당점,1598566285,54
참고맙소,1691801657,54
왕바우아구찜,1417252039,53
성원닭내장,32185195,53
교동시골밥상,1878260166,53
잔치마당능이백숙,37293982,53
대관령양꼬치,1841743441,52
두찜 강릉중앙점,1228005515,52
인성참치유천점,1229100783,52
근덕이삼척꽈배기 강릉입암점,1972829280,52
국보삼계탕 강릉점,15302317,51
스텔라떡볶이 강원강릉입암점,1762091362,50
별미정,15318769,50
주문진해물국수,20715506,49
가자골식당,1525748684,49
교항식당,1067517919,48
강남흑염소전문점,1434030213,48
상부추어탕,15333087,48
팔도숯불조개구이,1635365791,48
보현가든,1880529076,48
라면먹고갈래 관동별곡,2079856053,48
Miss한우,1140539859,47
황소실비,32038666,47
청화대뚝배기동태탕,1528730078,47
국민낙곱새 강릉점,1412551385,47
열정국밥 강릉교동점,1525974431,46
바다양푼이동태탕 강릉교동점,1562025223,46
가곡막국수,1443724267,46
강릉오겹살,1190765060,45
비노에올리바,1880324643,45
토라스시,1473728783,45
짱신,1650933512,45
성산토속가든,15306959,45
감칠맛회국수,15362879,44
연길양꼬치,1093428366,44
동해바다진미,1918083346,44
솔향한우곰탕,1565348057,43
쓰이네,1007919986,43
어메야,31735975,43
은대봉,1951460203,43
양마니명동찌개마을 강릉포남점,1598957286,43
강릉한정식강릉밥상 오죽헌본점,2063354876,43
육장원,1698491446,42
꼼지락,36195920,42
가보자땡초족발보쌈 강릉점,37370900,41
주문진 미인상회,1950305815,41
국수마을,20368673,40
왕초신불닭,32268248,40
맘김밥,1140567098,39
맛나칼국수,1416506512,39
라온네돌판집,1281025784,39
명가네FOOD,1149735926,39
미스터쭈삼 강릉본점,1550961346,39
가작다리 가든,11578368,38
주공면옥,1240895948,37
깐부네,1839877500,37
고담집,1520374355,37
만나옹심이손칼국수,1679108075,37
곱창백화점 주문진점,1059361236,37
삼삼해물찜,15299161,37
유산민물장어,15341731,36
성남장터,1175212803,36
백사장,1255404157,36
밥톨,615540229,36
복촌식당,21746204,35
교동소머리곰탕,1346405445,35
임당골 감자탕,1199090198,35
솔향돈우촌,2077873969,34
송강식당,449523007,34
빨간보자기밥집,1408112993,34
주문진전주식당,1215971214,34
월화칼국수,1942707488,34
분식1번지,1430081795,33
산내음식당,1322358260,33
소금강산과친구,1300556799,33
모두와우동,1122991660,33
태장봉능이오리닭백숙,1413946030,33
녹원삼겹살데이,1109196561,32
맛드렁 집밥,1947256113,32
1974비래옥 강릉점,1871280278,31
면사랑우동가,20771733,31
청도양꼬치,1354186603,31
만추,1565454479,31
솔이네쌈밥집,15315713,31
초당젤라또,1412371235,30
솔잎향기,1427607632,29
고단막국수,1292550716,29
오리본가선자령,21338790,29
명신식당,15304031,29
대기리벌말식당,1780530675,29
영세감자탕,15378791,28
서부시장냉삼,1283618889,28
효자동설렁탕 강릉점,1341080383,27
호박식당,1940521213,27
스왓띠,1298829672,27
내촌옥,1043586683,27
라라푸드 홍짬순,1129014067,27
솔지네 관동대점,1096696224,26
감동육개장,1100806567,26
삼척풍물호떡,1844878772,26
별미해물찜,15382768,25
소금강막국수,585999501,25
샘터흑염소,12027411,25
더갈만,15311869,24
병천순대 내곡점,1366265272,24
소문난밥상,1517085264,24
갑진정식,1371192904,24
피비피샌드위치,1450217253,24
염가네 꼬막무침 강릉본점,1543028097,24
끼리,1547836970,24
팔도실비집 강릉교동점,1748594252,24
본전해물전문,15305498,23
주문진 돈의맛,21116582,23
강릉한우한돈정육식당 소온주문진,2048194061,23
팔당참숯민물장어,1955612988,23
아줌마순메밀부치기,13318163,22
그리운바다성산포,1272262138,22
포남부영식당,32471019,21
성원대박집,32037933,21
윤이네순대국밥,1312042209,21
냉삼꼬세,1361647162,21
강릉닭갈비,1531992135,21
소문난식당,37300459,21
채선당 강릉사천항점,1468367465,20
오떡후 강릉교동점,1157704605,20
야식의 정석,1190822494,19
하슬라오정포차,1792962301,19
회산막국수 강릉점,1567062059,19
반상먹거리,15338377,19
명성부침,1448729546,19
